Countries,"Healthcare prices, 2017",Global rank,Available data
Switzerland,241.55,1,2017 - 2017
Bermuda,228.75,2,2017 - 2017
Iceland,228.54,3,2017 - 2017
Norway,198.81,4,2017 - 2017
Sweden,189.48,5,2017 - 2017
Israel,186.3,6,2017 - 2017
USA,179.52,7,2017 - 2017
Ireland,177.7,8,2017 - 2017
Bahamas,170.78,9,2017 - 2017
Luxembourg,164.28,10,2017 - 2017
Australia,163.44,11,2017 - 2017
Finland,150.05,12,2017 - 2017
Denmark,147.83,13,2017 - 2017
Barbados,146.66,14,2017 - 2017
Netherlands,142.84,15,2017 - 2017
Hong Kong,138.09,16,2017 - 2017
Austria,136.98,17,2017 - 2017
Singapore,136.56,18,2017 - 2017
UK,136.42,19,2017 - 2017
Italy,135.99,20,2017 - 2017
Costa Rica,131.92,21,2017 - 2017
Belgium,128.34,22,2017 - 2017
Canada,127.09,23,2017 - 2017
Uruguay,124.42,24,2017 - 2017
Japan,122.84,25,2017 - 2017
Spain,121.63,26,2017 - 2017
New Zealand,118.85,27,2017 - 2017
Germany,112.67,28,2017 - 2017
Cyprus,109.91,29,2017 - 2017
France,109.69,30,2017 - 2017
Brazil,108.45,31,2017 - 2017
Aruba,106.78,32,2017 - 2017
Montserrat,102.06,33,2017 - 2017
UA Emirates,100.38,34,2017 - 2017
Kuwait,97.43,35,2017 - 2017
Tr.&Tobago,96.79,36,2017 - 2017
Saint Lucia,95.59,37,2017 - 2017
Ant.& Barb.,95.32,38,2017 - 2017
Greece,95.17,39,2017 - 2017
Chile,94.72,40,2017 - 2017
Qatar,92.45,41,2017 - 2017
Malta,91.88,42,2017 - 2017
Slovenia,90,43,2017 - 2017
Portugal,89.41,44,2017 - 2017
Panama,88.8,45,2017 - 2017
Oman,81.5,46,2017 - 2017
Angola,81.24,47,2017 - 2017
Honduras,79.36,48,2017 - 2017
Djibouti,78.98,49,2017 - 2017
South Korea,78.79,50,2017 - 2017
Bahrain,78.14,51,2017 - 2017
Mexico,77.5,52,2017 - 2017
Belize,76.59,53,2017 - 2017
Dominica,74.92,54,2017 - 2017
Swaziland,73.31,55,2017 - 2017
St. Vincent & ...,72.38,56,2017 - 2017
Grenada,72.22,57,2017 - 2017
Estonia,71.8,58,2017 - 2017
South Africa,71.11,59,2017 - 2017
Namibia,69.59,60,2017 - 2017
Brunei,68.67,61,2017 - 2017
Mauritius,68.48,62,2017 - 2017
Ecuador,67.88,63,2017 - 2017
Argentina,67.49,64,2017 - 2017
Saudi Arabia,67.05,65,2017 - 2017
Seychelles,66.34,66,2017 - 2017
Gabon,64.92,67,2017 - 2017
Ivory Coast,62.72,68,2017 - 2017
China,61.64,69,2017 - 2017
Morocco,61.03,70,2017 - 2017
Iraq,60.89,71,2017 - 2017
El Salvador,59.68,72,2017 - 2017
Peru,59.47,73,2017 - 2017
Lesotho,58.73,74,2017 - 2017
Croatia,58.08,75,2017 - 2017
Eq. Guinea,57.46,76,2017 - 2017
Guyana,57.21,77,2017 - 2017
Slovakia,56.89,78,2017 - 2017
Cameroon,56.64,79,2017 - 2017
Domin. Rep.,56.62,80,2017 - 2017
Niger,55.68,81,2017 - 2017
Haiti,55.23,82,2017 - 2017
R. of Congo,54.25,83,2017 - 2017
Paraguay,52.8,84,2017 - 2017
Hungary,52.59,85,2017 - 2017
Malaysia,51.61,86,2017 - 2017
Chad,51.53,87,2017 - 2017
Latvia,51.26,88,2017 - 2017
Jordan,49.84,89,2017 - 2017
